hour_index,zone,occupancy_mean,energy_kwh,charging_hours,price_mean,revenue,saturation_count,capacity,area,utilization,occupancy_density,revenue_per_kwh,is_saturated_hour,util_band,timestamp,hour,dayofweek,is_weekend,date,hour_sin,hour_cos,dow_sin,dow_cos,CBD,dynamic_pricing,fast_count,slow_count,util_lag1,energy_lag1,util_lag2,energy_lag2,util_lag3,energy_lag3,util_lag24,energy_lag24,util_lag168,energy_lag168,util_roll3_mean,util_roll3_std,util_roll24_mean,has_full_lags
0,102,12.0,50.983333333000004,8.74,0.9239999999999999,47.10859999969202,0.0,30.0,0.71,0.4,16.901408450704228,0.9240000000000003,False,shoulder,2022-06-19 00:00:00,0,6,True,2022-06-19,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,0,3,27,,,,,,,,,,,,,,False
1,102,12.0,52.5,9.0,0.9239999999999999,48.51000000000002,0.0,30.0,0.71,0.4,16.901408450704228,0.9240000000000004,False,shoulder,2022-06-19 01:00:00,1,6,True,2022-06-19,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4,50.983333333000004,,,,,,,,,,,,False
2,102,12.0,52.5,9.0,0.9239999999999999,48.51000000000002,0.0,30.0,0.71,0.4,16.901408450704228,0.9240000000000004,False,shoulder,2022-06-19 02:00:00,2,6,True,2022-06-19,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4,52.5,0.4,50.983333333000004,,,,,,,,,,False
3,102,12.0,52.5,9.0,0.9239999999999999,48.51000000000002,0.0,30.0,0.71,0.4,16.901408450704228,0.9240000000000004,False,shoulder,2022-06-19 03:00:00,3,6,True,2022-06-19,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4,52.5,0.4,52.5,0.4,50.983333333000004,,,,,0.4,0.0,,False
4,102,12.0,52.5,9.0,0.9239999999999999,48.51000000000002,0.0,30.0,0.71,0.4,16.901408450704228,0.9240000000000004,False,shoulder,2022-06-19 04:00:00,4,6,True,2022-06-19,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4,52.5,0.4,52.5,0.4,52.5,,,,,0.4,0.0,,False
5,102,11.5,49.194444446000006,8.527777779000001,0.9239999999999999,45.45566666810401,0.0,30.0,0.71,0.38333333333333336,16.19718309859155,0.924,False,shoulder,2022-06-19 05:00:00,5,6,True,2022-06-19,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4,52.5,0.4,52.5,0.4,52.5,,,,,0.4,0.0,,False
6,102,11.0,45.500000004,8.000000004,0.9239999999999999,42.042000003696,0.0,30.0,0.71,0.36666666666666664,15.492957746478874,0.924,False,shoulder,2022-06-19 06:00:00,6,6,True,2022-06-19,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.38333333333333336,49.194444446000006,0.4,52.5,0.4,52.5,,,,,0.39444444444444443,0.00962250448649377,,False
7,102,11.0,45.500000004,8.000000004,1.035,47.09250000414,0.0,30.0,0.71,0.36666666666666664,15.492957746478874,1.035,False,shoulder,2022-06-19 07:00:00,7,6,True,2022-06-19,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.36666666666666664,45.500000004,0.38333333333333336,49.194444446000006,0.4,52.5,,,,,0.3833333333333333,0.016666666666666715,,False
8,102,10.5,42.186666667,7.526666666999999,1.035,43.66320000034501,0.0,30.0,0.71,0.35,14.788732394366198,1.0350000000000001,False,shoulder,2022-06-19 08:00:00,8,6,True,2022-06-19,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.36666666666666664,45.500000004,0.36666666666666664,45.500000004,0.38333333333333336,49.194444446000006,,,,,0.37222222222222223,0.00962250448649385,,False
9,102,10.0,38.499999996,6.999999995999999,1.1229999999999998,43.23549999550799,0.0,30.0,0.71,0.3333333333333333,14.084507042253522,1.1229999999999998,False,shoulder,2022-06-19 09:00:00,9,6,True,2022-06-19,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.35,42.186666667,0.36666666666666664,45.500000004,0.36666666666666664,45.500000004,,,,,0.3611111111111111,0.009622504486493865,,False
10,102,10.083333333333334,38.898611107,7.056944440999999,1.1229999999999998,43.683140273160994,0.0,30.0,0.71,0.33611111111111114,14.201877934272302,1.1229999999999998,False,shoulder,2022-06-19 10:00:00,10,6,True,2022-06-19,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.3333333333333333,38.499999996,0.35,42.186666667,0.36666666666666664,45.500000004,,,,,0.3499999999999999,0.016666666666666736,,False
11,102,12.166666666666666,53.110555555,9.087222222,1.079,57.108998332816995,0.0,30.0,0.71,0.40555555555555556,17.136150234741784,1.0752852749521007,False,shoulder,2022-06-19 11:00:00,11,6,True,2022-06-19,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.33611111111111114,38.898611107,0.3333333333333333,38.499999996,0.35,42.186666667,,,,,0.3398148148148148,0.008929306260178805,,False
12,102,14.0,66.500000004,11.000000003999999,1.035,68.82750000414,0.0,30.0,0.71,0.4666666666666667,19.71830985915493,1.0350000000000001,False,shoulder,2022-06-19 12:00:00,12,6,True,2022-06-19,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.40555555555555556,53.110555555,0.33611111111111114,38.898611107,0.3333333333333333,38.499999996,,,,,0.3583333333333334,0.0409192218407118,,False
13,102,13.166666666666666,61.230555554999995,10.218611110000001,1.035,63.37362499942498,0.0,30.0,0.71,0.4388888888888889,18.544600938967136,1.0349999999999997,False,shoulder,2022-06-19 13:00:00,13,6,True,2022-06-19,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4666666666666667,66.500000004,0.40555555555555556,53.110555555,0.33611111111111114,38.898611107,,,,,0.40277777777777785,0.06532208897947138,,False
14,102,11.75,54.253888891,8.750555556,1.1229999999999998,60.92711722459299,0.0,30.0,0.71,0.39166666666666666,16.549295774647888,1.1229999999999998,False,shoulder,2022-06-19 14:00:00,14,6,True,2022-06-19,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4388888888888889,61.230555554999995,0.4666666666666667,66.500000004,0.40555555555555556,53.110555555,,,,,0.43703703703703706,0.0305976141515895,,False
15,102,14.0,66.042083331,10.920833331,1.1229999999999998,74.165259580713,0.0,30.0,0.71,0.4666666666666667,19.71830985915493,1.123,False,shoulder,2022-06-19 15:00:00,15,6,True,2022-06-19,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.39166666666666666,54.253888891,0.4388888888888889,61.230555554999995,0.4666666666666667,66.500000004,,,,,0.4324074074074074,0.037917768943413525,,False
16,102,14.0,66.696388893,11.028055558999998,1.079,71.974044726663,0.0,30.0,0.71,0.4666666666666667,19.71830985915493,1.0791295589050534,False,shoulder,2022-06-19 16:00:00,16,6,True,2022-06-19,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4666666666666667,66.042083331,0.39166666666666666,54.253888891,0.4388888888888889,61.230555554999995,,,,,0.4324074074074074,0.037917768943413525,,False
17,102,14.0,66.500000004,11.000000003999999,1.035,68.82750000414,0.0,30.0,0.71,0.4666666666666667,19.71830985915493,1.0350000000000001,False,shoulder,2022-06-19 17:00:00,17,6,True,2022-06-19,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4666666666666667,66.696388893,0.4666666666666667,66.042083331,0.39166666666666666,54.253888891,,,,,0.44166666666666665,0.043301270189221974,,False
18,102,15.583333333333334,77.200277776,12.528611109000002,1.035,79.90228749815999,0.0,30.0,0.71,0.5194444444444445,21.94835680751174,1.035,False,shoulder,2022-06-19 18:00:00,18,6,True,2022-06-19,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4666666666666667,66.500000004,0.4666666666666667,66.696388893,0.4666666666666667,66.042083331,,,,,0.4666666666666667,0.0,,False
19,102,15.166666666666666,74.85722222199999,12.193888888,1.1229999999999998,84.064660555306,0.0,30.0,0.71,0.5055555555555555,21.36150234741784,1.1230000000000002,False,shoulder,2022-06-19 19:00:00,19,6,True,2022-06-19,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.5194444444444445,77.200277776,0.4666666666666667,66.500000004,0.4666666666666667,66.696388893,,,,,0.4842592592592592,0.030471264207230217,,False
20,102,13.166666666666666,62.19013889,10.272222224999998,1.1229999999999998,69.83952597347002,0.0,30.0,0.71,0.4388888888888889,18.544600938967136,1.1230000000000002,False,shoulder,2022-06-19 20:00:00,20,6,True,2022-06-19,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.5055555555555555,74.85722222199999,0.5194444444444445,77.200277776,0.4666666666666667,66.500000004,,,,,0.49722222222222223,0.027357938338322417,,False
21,102,11.0,48.99999999599999,8.000000004,1.035,50.714999995859976,0.0,30.0,0.71,0.36666666666666664,15.492957746478874,1.0349999999999997,False,shoulder,2022-06-19 21:00:00,21,6,True,2022-06-19,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.4388888888888889,62.19013889,0.5055555555555555,74.85722222199999,0.5194444444444445,77.200277776,,,,,0.48796296296296293,0.04306302205271655,,False
22,102,11.0,48.99999999599999,8.000000004,1.035,50.714999995859976,0.0,30.0,0.71,0.36666666666666664,15.492957746478874,1.0349999999999997,False,shoulder,2022-06-19 22:00:00,22,6,True,2022-06-19,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0,0,3,27,0.36666666666666664,48.99999999599999,0.4388888888888889,62.19013889,0.5055555555555555,74.85722222199999,,,,,0.43703703703703706,0.06946296049448533,,False
